,Suburb,Number of single-residential properties_number,"Oct 2017
kl/month",Month,Year,Latitude,Longitude
0,ATHLONE,2272,11,October,2017,-33.96722,18.50214
1,AURORA,426,10,October,2017,-32.705958,18.485135
2,BANTRY BAY,248,13,October,2017,-33.927953,18.382592
3,BELLVILLE SOUTH,2041,11,October,2017,-33.920011,18.642819
4,BERGVLIET,1488,8,October,2017,-34.047464,18.452499
5,BISHOP LAVIS,3746,9,October,2017,-33.947283,18.575133
6,BISHOPSCOURT,538,12,October,2017,-33.991092,18.444217
7,BLOMTUIN,201,9,October,2017,-33.882677,18.652075
8,BONTEHEUWEL,7098,9,October,2017,-33.950161,18.554446
9,BOTHASIG,3399,9,October,2017,-33.860418,18.544612
10,BRANDWAG,119,10,October,2017,-34.065011,22.06257
11,BRIDGETOWN,1897,11,October,2017,-33.95,18.533333
12,BROOKLYN,1552,11,October,2017,-33.90982,18.481978
13,CLAREMONT,4598,7,October,2017,-33.985847,18.45749
14,CLIFTON,190,13,October,2017,-33.934259,18.378476
15,CLOVELLY,261,5,October,2017,-34.124867,18.432759
16,CONSTANTIA,3698,11,October,2017,-34.01832,18.441142
17,CRAVENBY,659,13,October,2017,-33.926369,18.593577
18,CRAWFORD,1331,12,October,2017,-33.978555,18.50413
19,CROSSROADS,5226,8,October,2017,-33.994451,18.595982
20,DURBANVILLE,1855,9,October,2017,-33.841588,18.651795
21,DURBANVILLE HILLS,261,10,October,2017,-33.85006,18.638249
22,EDGEMEAD,3272,7,October,2017,-33.874974,18.542875
23,EERSTERIVIER,4681,9,October,2017,-33.999247,18.734692
24,ELIM,364,9,October,2017,-34.589721,19.757882
25,EPPING FOREST,698,9,October,2017,-33.935076,18.577562
26,GARDEN VILLAGE,124,9,October,2017,-33.93624,18.487486
27,GARDENS,1080,9,October,2017,-33.936051,18.404945
28,GAYLEE,441,12,October,2017,-33.974819,18.701351
29,GLENCAIRN,1251,6,October,2017,-34.155909,18.41995
30,GRASSY PARK,3464,12,October,2017,-34.047195,18.498626
31,GREEN POINT,783,9,October,2017,-33.910012,18.403859
32,GUGULETU,8414,10,October,2017,-33.983511,18.570596
33,HANOVER PARK,3175,9,October,2017,-33.994609,18.529775
34,HAPPY VALLEY,720,7,October,2017,-33.933406,20.074828
35,HEATHFIELD,932,9,October,2017,-34.047645,18.46808
36,HEIDEVELD,1989,9,October,2017,-33.964769,18.548435
37,HOUT BAY,3438,9,October,2017,-34.033333,18.35
38,KALK BAY,229,6,October,2017,-34.124958,18.450676
39,KENSINGTON,2137,11,October,2017,-33.915435,18.501743
40,KOMMETJIE,1245,7,October,2017,-34.138929,18.329108
41,LAKESIDE,1336,6,October,2017,-34.089125,18.458681
42,LANGA,3393,9,October,2017,-33.945057,18.534307
43,LANSDOWNE,4095,12,October,2017,-33.987354,18.497457
44,LAVENDER HILL,1360,9,October,2017,-34.073458,18.486572
45,LLANDUDNO,309,9,October,2017,-34.009198,18.344159
46,LOTUS RIVER,5097,11,October,2017,-34.037828,18.517059
47,MACASSAR,519,11,October,2017,-34.064046,18.763337
48,MAITLAND,997,12,October,2017,-33.921734,18.490299
49,MAMRE,1671,9,October,2017,-33.512728,18.473736
50,MANENBERG,4106,11,October,2017,-33.98972,18.556274
51,MATROOSFONTEIN,731,9,October,2017,-33.940598,18.574469
52,MEADOWRIDGE,796,8,October,2017,-34.032796,18.452906
53,MFULENI,7084,8,October,2017,-33.998061,18.672907
54,MILNERTON,1238,9,October,2017,-33.874573,18.499149
55,MONTANA,526,11,October,2017,-33.422832,19.204617
56,MONTE VISTA,1393,8,October,2017,-33.879053,18.554474
57,MOWBRAY,806,8,October,2017,-33.948024,18.473333
58,MUIZENBERG,2411,6,October,2017,-34.104509,18.468289
59,NEWLANDS,1830,8,October,2017,-33.966667,18.483333
60,NOOITGEDACHT,395,10,October,2017,-33.619813,19.7421
61,NOORDHOEK,1103,9,October,2017,-32.718097,19.066886
62,NYANGA,5340,10,October,2017,-33.987472,18.585457
63,OAKDALE,1238,8,October,2017,-33.833333,18.683333
64,OBSERVATORY,1762,7,October,2017,-33.936126,18.467872
65,OCEAN VIEW,2263,10,October,2017,-34.148613,18.353646
66,ORANJEZICHT,711,10,October,2017,-33.942532,18.408982
67,OTTERY,3315,10,October,2017,-34.016785,18.505041
68,PARKWOOD,355,13,October,2017,-34.028863,18.4955
69,PAROW,315,13,October,2017,-33.897228,18.599924
70,PENHILL,188,12,October,2017,-33.993096,18.733482
71,PHILADELPHIA,121,9,October,2017,-33.665835,18.581233
72,PHILIPPI,20719,9,October,2017,-34.008747,18.542716
73,PINELANDS,3063,9,October,2017,-33.934769,18.517694
74,PLUMSTEAD,3795,8,October,2017,-34.019091,18.478345
75,RAVENSMEAD,2533,11,October,2017,-33.921362,18.609081
76,RIVERSIDE,927,8,October,2017,-34.140273,18.882027
77,ROCKLANDS,5411,10,October,2017,-34.216818,18.463655
78,ROSEBANK,372,8,October,2017,-33.950865,18.471641
79,ROSENDAL,181,10,October,2017,-33.833333,18.516667
80,RUGBY,567,9,October,2017,-33.895717,18.490115
81,SALT RIVER,717,11,October,2017,-33.932547,18.466182
82,SANDDRIFT,624,8,October,2017,-33.883289,18.504209
83,SCARBOROUGH,483,4,October,2017,-34.198909,18.377605
84,SCHOONGEZICHT,133,9,October,2017,-33.818626,18.651614
85,SEA POINT,853,10,October,2017,-33.9198,18.389271
86,SILVERTOWN,1072,10,October,2017,-33.963653,18.530105
87,SOMERSET WEST,322,6,October,2017,-34.079375,18.85699
88,SONSTRAAL,444,10,October,2017,-33.844689,18.663242
89,SOUTHFIELD,1507,9,October,2017,-34.033874,18.485929
90,STEENBERG,3639,10,October,2017,-34.074425,18.470234
91,STELLENBERG,732,9,October,2017,-33.866088,18.659923
92,STRAND,6340,9,October,2017,-34.106869,18.827513
93,STRANDFONTEIN,6051,9,October,2017,-34.073097,18.561189
94,TABLE VIEW,4318,8,October,2017,-33.819128,18.488102
95,TAMBOERSKLOOF,618,8,October,2017,-33.929411,18.404388
96,THORNTON,1009,9,October,2017,-33.922449,18.536199
97,THREE ANCHOR BAY,172,9,October,2017,-33.909067,18.395743
98,TOKAI,1707,8,October,2017,-34.060458,18.437825
99,VREDEHOEK,1075,8,October,2017,-33.940992,18.421302
100,VYGEBOOM,122,13,October,2017,-34.066379,19.10953
101,WELGEMOED,912,11,October,2017,-33.877069,18.617141
102,WESBANK,5090,7,October,2017,-33.594102,22.192635
103,WESTLAKE,836,11,October,2017,-34.07607,18.437924
104,WINDERMERE,1661,10,October,2017,-33.908311,18.520216
105,WITSAND,370,9,October,2017,-34.395474,20.844846
106,WOODLANDS,1908,9,October,2017,-34.1,18.383333
107,WOODSTOCK,2833,9,October,2017,-33.931564,18.444802
108,WYNBERG,2330,9,October,2017,-33.983333,18.4
109,BRANDWACHT,36,0,October,2017,-33.622557,19.413941
110,FAURE,0,0,October,2017,-34.027804,18.748525
111,FERNWOOD,0,0,October,2017,-33.983333,18.45
112,GOEDE HOOP,21,0,October,2017,-33.604011,18.970768
113,GOOD HOPE,0,0,October,2017,-34.098713,18.385622
114,HIGH RIDING,0,0,October,2017,-34.101328,18.389407
115,KHAYELITSHA,0,0,October,2017,-34.039321,18.679156
116,KRAAIFONTEIN,0,0,October,2017,-33.848084,18.717235
117,MONTAGUE GARDENS,0,0,October,2017,-33.863523,18.520323
118,MOUILLE POINT,0,0,October,2017,-33.900271,18.405314
119,OUDEKRAAL,0,0,October,2017,-34.25,19.6
120,YSTERPLAAT,0,0,October,2017,-33.906357,18.490785
